,Year,Country Code,Rank,Gold,Silver,Bronze,Upper Gold,Upper Silver,Upper Bronze,Lower Gold,Lower Silver,Lower Bronze,Total
197,2028,USA,1.0,37.65414634773982,34.028718075569216,33.062297176711866,50.47086766669219,101.5755863179529,76.77026001366065,-102.25516726627562,-98.14069884633399,-84.35926289313471,104.74516160002091
38,2028,CHN,2.0,35.83553391574258,28.111737540054882,27.230921454772652,25.454562738660545,57.51499562720143,42.25829615820084,-87.01071748847926,-89.55323662791601,-76.39519310793303,91.17819291057012
96,2028,JPN,3.0,28.821338785735616,26.0533200861466,23.990826575465814,37.561372186112905,67.57823306674051,53.2756924936665,-72.62877511470734,-76.5148607550448,-62.9774785613103,78.86548544734804
11,2028,AUS,4.0,22.40413443966443,21.44757642777684,20.65889398740571,42.78699698432475,71.37418264557105,54.84662962546805,-58.95361571306891,-61.669651217988324,-52.49208568506322,64.51060485484697
64,2028,FRA,5.0,18.798343028760538,19.14094547037293,19.468790991398635,53.88029913002819,87.1114189741563,66.68304543004477,-50.94099451492262,-49.96094974197459,-43.905860010321305,57.4080794905321
72,2028,GER,6.0,17.399044438294805,17.003496831215156,16.92162355191302,48.5387605490115,75.08889227302338,58.32716479451522,-45.29020999182191,-47.60907107965105,-40.66458382723009,51.32416482142298
68,2028,GBR,7.0,15.972480410779779,17.013182205744382,17.749236513293834,32.58921173558795,61.89464564088263,46.4277197452812,-64.72715135733536,-65.36369987399938,-56.24330921889943,50.73489912981799
92,2028,ITA,8.0,15.41016097637115,15.759412989154335,16.77340039197476,42.296506645926634,66.533781822435,51.04240255270418,-47.05879587106872,-50.314069863480455,-43.22952213960571,47.94297435750025
135,2028,NED,9.0,15.616774894570455,14.288210107814361,14.419427015209113,28.67149351382704,47.09523929693923,37.248916785256995,-37.62518881843156,-39.59939086174216,-32.69562671833578,44.32441201759393
33,2028,CAN,10.0,13.921575406120064,14.174080808038342,14.812852217917486,39.83075372598467,60.65458176728036,47.51296543932853,-39.18169804405028,-42.66816445709268,-35.84701089338849,42.90850843207589
59,2028,ESP,11.0,10.901820863334642,11.873243449468479,12.589503626387936,38.728316594936466,57.82308561059793,45.991963981743716,-29.778288360011615,-31.761408983428606,-26.28409934432842,35.364567939191055
26,2028,BRA,12.0,8.860508932670157,10.148849176231934,10.778748145138254,30.308823628548296,47.26817817095748,36.53779708951082,-32.992929422662705,-35.51005259581211,-30.247026289045028,29.788106254040343
141,2028,NZL,13.0,11.112780428663596,9.338205001734803,9.166964102230727,18.776083162639328,29.98688062883931,22.89499274960993,-23.57028510163679,-25.3884806424201,-21.781411756360693,29.617949532629126
101,2028,KOR,14.0,10.19096968080846,9.061233338893082,9.42761108230481,22.206945244508507,34.775557139533845,26.532403522214544,-26.86539530310519,-29.39520171495827,-25.24005834931381,28.67981410200635
83,2028,HUN,15.0,6.957741181498406,6.513843899579522,7.3740187769834655,18.712725493478967,29.25618053128171,21.657077756526824,-23.400733311591715,-25.814610455071467,-22.773601846949454,20.845603858061395
151,2028,POL,16.0,5.061350336034236,5.863094646026562,7.0998190973386865,24.085903953042504,35.18041276913951,26.532607723047704,-23.388805228436027,-26.901160691084346,-23.55431585817359,18.024264079399487
7,2028,ARG,17.0,4.367901244942993,4.717982439695422,4.698839854903464,15.027849553391214,21.54751858989375,17.31853155864128,-8.78619308477297,-9.593551316920367,-7.805837907596866,13.78472353954188
18,2028,BEL,18.0,3.918309508158579,4.4799964883808885,4.926232964943218,16.36755388058516,23.804659443318727,18.735947853055627,-17.6128162433437,-20.630680560349866,-17.114133822069963,13.324538961482684
158,2028,RSA,19.0,4.090237720332015,4.356441422194963,4.666321094222852,15.876180732971722,23.020219298013764,17.80815439695924,-11.23696212795897,-12.435007269547718,-10.796842620104698,13.11300023674983
87,2028,IRL,20.0,4.423418260648118,4.111683466220523,4.56688208198235,12.867870828156835,17.73550058273344,13.851144173296952,-13.606233306845558,-16.884069899900975,-14.07965210862064,13.101983808850992
175,2028,SUI,21.0,3.2721806320892224,4.065968901206099,5.091429632415694,16.303891321972465,23.871209986052847,18.10639930754547,-17.415260136395094,-20.22254044171683,-17.468090593232574,12.429579165711015
98,2028,KEN,22.0,4.273627345984382,3.8593639379619717,3.8563965429505775,3.8343931105570435,7.923099483016007,6.280168858771252,-11.059825348627001,-11.553723721352263,-9.433578410652961,11.98938782689693
51,2028,DEN,23.0,3.5112068031862287,3.862825320767208,4.434222527618358,10.81454526031204,16.805261522161878,12.914288647614033,-13.71008287932284,-15.265024524569816,-12.959765067853215,11.808254651571794
170,2028,SRB,24.0,4.0511135431351475,3.73962541593677,3.6838245351297187,8.204987355876076,12.231624298914344,9.5184258537834,-10.98418207963768,-12.86160644416713,-10.726594698731168,11.474563494201636
139,2028,NOR,25.0,4.049627999943959,3.481870857227393,3.7633439193131344,7.747394487938234,11.733619050594298,8.898014543089175,-13.598359087607442,-16.179726634123888,-13.62225249077495,11.294842776484487
195,2028,UKR,26.0,2.7603274927707044,3.3772532829300936,4.895681611848897,20.71005748132778,29.227805512872948,21.630382300458756,-15.21370147244933,-17.74885888186893,-16.27001983976161,11.033262387549694
56,2028,EGY,27.0,3.1785398343248694,3.57151322619122,4.25588492471783,17.41991075816451,23.739740542734577,18.203099985490375,-13.014277526109169,-16.0583399141656,-13.90567727997664,11.00593798523392
178,2028,SWE,28.0,3.7218562215659903,3.3534707213829904,3.80989516663499,15.69932994761938,23.24094766372932,17.679753341847015,-13.761075381977351,-15.283739462755781,-13.401660233004103,10.885222109583971
198,2028,UZB,29.0,4.381563519844691,2.9082045888309223,3.3781700552748166,7.829660261529679,10.520243970448574,7.589974580503791,-12.484035599528195,-16.043503835275935,-13.841447534282297,10.66793816395043
157,2028,ROU,30.0,3.5451028060863155,3.2035274375533604,3.576681425794538,12.068492721431758,17.58170892034499,13.257209126990338,-8.702454713607569,-9.57997613806326,-8.656624044930508,10.325311669434214
94,2028,JAM,31.0,3.0109873232637434,3.108373689149759,2.8974618908498186,4.187909063855661,7.7969855591298405,5.711971298015927,-10.260974901709202,-11.097484081485016,-9.531937711531423,9.016822903263321
50,2028,CZE,32.0,2.899810789034752,2.513390792034116,3.4289049817298536,11.639616169875518,16.133008835767704,11.935598412864314,-15.748562427575198,-19.681875570153238,-16.959567710123448,8.842106562798723
90,2028,ISR,33.0,2.5335869754241407,2.636919574457497,2.949274575608249,11.537213508633075,16.581604961857078,11.930760040567032,-10.464703094009757,-12.189789858304948,-11.281774264896518,8.119781125489887
166,2028,SLO,34.0,2.781167620862486,2.310634976861565,2.370336436890063,6.360877218296291,9.095130992332109,6.737402983215156,-9.383984249803078,-11.494058298251286,-9.873792466872457,7.462139034614114
85,2028,IND,35.0,1.415777014220726,2.4169474191793214,3.3348511613301755,11.879871477662677,16.93983754036189,12.953409956560765,-11.40350409829363,-13.507291386646658,-11.611093403067366,7.167575594730223
48,2028,CUB,36.0,1.8694444158789207,1.9880464858333184,2.626114269869363,1.5506272351703247,4.156220472443465,2.417274819929897,-17.320088252584036,-20.520575446867966,-17.4917694028595,6.483605171581603
47,2028,CRO,37.0,1.8769062893203647,1.7816405031334568,2.2112714763780965,5.5220831451520676,8.71091799257222,6.297242926181448,-9.816877425883144,-11.34748413168367,-9.885717626561428,5.869818268831918
188,2028,TPE,38.0,1.3055237741521466,1.7360036080151053,2.6705416119603846,7.390842014933114,10.777690397026715,8.172911728262498,-10.653987993622243,-12.81911428209344,-10.864804084165218,5.712068994127637
86,2028,IRI,39.0,2.0019578074938114,1.644650651562473,1.922810557381733,4.797421684787927,8.212912319328861,5.289229032838791,-8.670517632319937,-9.398798810416482,-8.919760532402794,5.569419016438017
191,2028,TUR,40.0,0.5953445188945277,1.7830664997962224,3.0652126120274596,12.911455830422522,18.22024252343576,13.118591326635615,-14.125022201427855,-17.13473122951297,-15.405522510694992,5.44362363071821
137,2028,NGR,41.0,1.5331249281866197,1.748039857154794,1.922329524522555,7.767048257746789,10.412925230735485,8.198529922535968,-4.458750779453539,-5.574467933412558,-4.699972725575481,5.203494309863968
121,2028,MEX,42.0,0.6689204151602327,1.6723434406349118,2.3296572549169503,17.33662674065838,23.433203750891852,17.711105660113883,-10.386484320882088,-12.819664051496405,-11.537422011011145,4.670921110712095
29,2028,BUL,43.0,1.5996912827573253,1.2326131977048365,1.754492940834589,3.7589036761152226,5.265812548886459,3.4881179609932342,-9.769313275010008,-12.424722241472642,-10.78446591163302,4.586797421296751
12,2028,AUT,44.0,0.899871323050361,1.1744712318059878,2.20172795099937,10.013889114340145,12.858736498771028,9.487896893201649,-10.265415919499059,-13.66003922174971,-11.907242098117331,4.276070505855719
81,2028,HKG,45.0,1.3028678694534064,1.2480513765146866,1.6545077925282443,4.830072847264249,6.588258510610464,5.05129489056087,-5.769385614793694,-7.272406894109095,-6.131380583279529,4.205427038496337
152,2028,POR,46.0,1.106536646642819,1.2098934210366243,1.8770185340482242,9.894321631406399,13.14302581965745,9.507623705061492,-8.30154670585041,-10.651288170425412,-9.689441060902443,4.193448601727668
61,2028,ETH,47.0,1.4880901069807335,1.3624534067086045,1.1962250517706245,3.1855380685363603,5.0906064522965515,3.6379381765501564,-2.821399578152203,-2.764526253379271,-2.699520905436815,4.0467685654599626
55,2028,ECU,48.0,1.253270512332063,1.2030983563920343,1.4366294108801743,3.618469127852445,5.498829310981747,3.7929657428169556,-6.5135635665719525,-7.7505942845543965,-6.896564662691169,3.8929982796042717
54,2028,DOM,49.0,0.9483947238957414,1.1661712396872919,1.6137333615231502,6.235783883391264,8.676915191787051,6.863508419053846,-4.247457666820352,-5.031776059230418,-4.196555506809689,3.7282993251061836
62,2028,FIJ,50.0,1.2446631713646656,1.3297273435700596,1.0683369446124935,2.1778571005785694,3.451945430232378,2.719751090522064,-2.770798756267632,-3.019296782790411,-2.501196062289953,3.6427274595472188
194,2028,UGA,51.0,1.2872213792714526,1.0220146421174514,0.9144500158040312,1.449937376745586,2.3772807812850547,1.6297303217260912,-4.280911374411232,-5.116816894476504,-4.416448547058074,3.2236860371929357
204,2028,ZAM,52.0,0.9484519028744,1.1524251194634039,1.091113390846888,2.517648542956154,3.4663660813479726,2.908755108669944,-1.8233335512302535,-2.210235280012001,-1.6710820755416007,3.1919904131846915
37,2028,CHI,53.0,0.9869510701553048,0.8744763707716603,1.0963062847604645,5.912661448204801,7.474728837186979,5.560899954401736,-3.517452811319632,-4.856812339886073,-4.388090158912227,2.9577337256874294
70,2028,GEO,54.0,1.2751387025403378,0.6067495586150015,1.0079485015975982,3.9514250330482517,6.189093138712778,4.150818643171429,-5.2399358552821775,-5.83023580561132,-5.546281104431386,2.889836762752937
116,2028,MAR,55.0,0.8769728703141894,0.8279209344182569,1.11145979231794,4.734080441118813,6.045002720179565,4.521709962695221,-5.542612711726737,-7.393589993632422,-6.3204405947019335,2.8163535970503863
183,2028,THA,56.0,0.7251810521042034,0.8189283881900635,1.2027961368543005,5.059049347830354,7.015400009455047,4.7425774487709775,-5.627661754771604,-6.959363644773012,-6.532151592422138,2.7469055771485675
84,2028,INA,57.0,0.9358000354128854,0.7444295108711627,0.9650831609171722,2.8127242010505054,3.581034421949856,2.67950703039385,-4.2471914073791,-5.651053083679254,-4.76886831862756,2.64531270720122
14,2028,BAH,58.0,0.9753419831857436,0.9079941103552847,0.7034975100214051,0.3872619975690558,0.7965301110029877,0.5750032548819365,-3.9682046071922583,-4.8990123080863555,-4.020115425241536,2.5868336035624333
147,2028,PHI,59.0,0.8589465048374996,0.6544522863319749,1.0673836538943164,3.095590528574369,4.061459727629181,3.003679871724928,-4.688632376521725,-6.117787590477928,-5.208856539953582,2.580782445063791
154,2028,PUR,60.0,0.5861290502450791,0.8707385196142746,1.1141384617607124,3.3517367064482255,4.552515477273882,3.448563519961538,-5.05860937247101,-6.445498558545205,-5.424547418668392,2.5710060316200662
27,2028,BRN,61.0,0.977356699207852,0.68805105202362,0.7727205992482689,2.7044559658563196,3.619602093332644,2.7931503750956344,-1.7024958113781965,-2.1432662888245115,-1.8562863607609164,2.438128350479741
5,2028,ANG,62.0,0.772194044024511,0.8415526396249756,0.7296441556303513,2.1027233929395397,2.6743631821274407,2.222101998025173,-1.0949337228368758,-1.507138686053116,-1.1515007129383712,2.343390839279838
190,2028,TUN,63.0,0.659144148011788,0.5699099030032952,0.9768865848520663,4.9606855914946495,6.455688487465371,4.583250859311997,-5.293035522273561,-6.95286422492061,-6.2346636619806866,2.2059406358671496
43,2028,COL,64.0,0.232763842387424,0.5217112690424278,1.3758842740345356,10.352172014694043,14.139137773955342,10.202353874893904,-5.580247104476999,-6.695316296418965,-6.6067192641415176,2.1303593854643874
127,2028,MNE,65.0,0.6719740045642102,0.7672938399319302,0.64863110030958,2.3592154566854227,3.0960203494651575,2.5862631566677514,-1.2331058073167807,-1.6015746498294008,-1.203719419981095,2.0878989448057204
102,2028,KOS,66.0,0.6990188936221339,0.7228698055479151,0.5943412146243537,-0.4058528771429666,-0.05656655079910818,-0.2756477237440404,-3.7920144898215034,-4.484571367049901,-3.848127068052747,2.016229913794403
97,2028,KAZ,67.0,-0.2708131737398135,0.5012292397922606,1.7392066291921189,12.134683507702299,15.67544778790075,11.058101722945537,-9.391814185881666,-12.474252777867985,-11.65285456387079,1.9696226952445661
153,2028,PRK,68.0,0.17304177830351378,0.64271010784465,1.093838959886108,1.621750736353334,3.4265785554005466,2.213836220737941,-5.877103454471815,-6.379498729572942,-5.697629552897852,1.9095908460342716
168,2028,SOL,69.0,0.5020769730466244,0.5181157747348486,0.3901631145681135,0.40652743687181386,0.25449205733756264,0.2787539795205048,-0.09145968253721881,-0.3967141210437981,-0.2466340265213248,1.4103558623495864
1,2028,AIN,70.0,0.30456789370470705,0.415457413687875,0.6677154629528459,4.732097241367961,5.709490532176324,4.280745293284201,-3.023196069999106,-4.43192622879356,-3.9012697234174047,1.3877407703454279
106,2028,LAT,71.0,0.3650580355437132,0.4467351744090947,0.5505519062231503,2.777953116896889,3.437366967825629,2.5002517270696534,-3.7468734514998845,-5.094997040402494,-4.383592225775676,1.362345116175958
189,2028,TTO,72.0,0.35143586793055365,0.45207218207752176,0.523190692577757,3.2587968308970785,3.994695688289062,3.1046876717122105,-1.9646347091623149,-2.835864297429807,-2.4061542247298804,1.3266987425858323
25,2028,BOT,73.0,0.4899128745398712,0.38367614675967215,0.3282086456187178,1.9494963173833644,2.4491611554726727,1.8397357554638485,-0.9377485449315631,-1.3264218256103883,-1.2063748005005472,1.2017976669182613
60,2028,EST,74.0,0.30495205528070757,0.38609197177765026,0.498085179515941,2.709971429905671,3.3275488942412204,2.404643188841944,-3.715789572835417,-5.075269376947792,-4.374684285607291,1.1891292065742989
39,2028,CIV,75.0,0.17867988506917043,0.4461639920094296,0.5107755059117632,2.1718065514996194,2.79730860382,2.263572632946362,-1.7914323525601237,-2.385326769937951,-1.9177366903597735,1.1356193829903631
110,2028,LCA,76.0,0.5376469814195401,0.34217777207697847,0.2431581516360595,0.9834626610623121,1.1051043721113152,0.787006223099183,-0.2920510054347897,-0.5628551952334881,-0.5586903939444028,1.1229829051325781
163,2028,SGP,77.0,0.14963533866378076,0.3457159381750686,0.606984999666074,3.2130315586187983,3.810046039372923,2.839743019534646,-2.580080534087669,-3.7654719605767726,-3.272125124315693,1.1023362765049234
20,2028,BER,78.0,0.43847534730155874,0.4166628029283822,0.24061040848240214,-0.19765435358657865,-0.26612624425596426,-0.18411861193159648,-1.6689056299162879,-2.190047333288033,-1.7363229648768388,1.095748558712343
53,2028,DMA,79.0,0.5254271001279116,0.3291107328412887,0.22220203471686156,0.5387410937971178,0.34776459281031163,0.3686502864036968,-0.2528104551954111,-0.6873289650772452,-0.466455028163528,1.076739867686062
76,2028,GUA,80.0,0.3374938752089904,0.29382435985083755,0.4385218050832703,2.099300034103939,2.383814361842853,1.8466704844335409,-1.8668239755658038,-2.802593797445664,-2.337682692467557,1.0698400401430983
113,2028,LTU,81.0,-0.13483635852493564,0.22454391930766898,0.8776570844173835,6.70301367303694,8.837116711004137,6.274184973165277,-4.72267499012583,-6.103990718728527,-5.780182600673908,0.9673646452001169
3,2028,ALG,82.0,0.2774558706079559,0.03266904718473961,0.6425818659613218,5.635635903416266,6.364837067901162,4.557046608549952,-4.504131657210907,-6.8947012323409576,-6.14064426089969,0.9527067837540173
155,2028,QAT,83.0,0.2408745159947979,0.3572514912573313,0.3127084963940859,-0.22887425025596098,-0.023990061150671878,-0.12455557212525199,-4.247018943589547,-5.278424459040938,-4.363791781534325,0.9108345036462151
78,2028,GUM,84.0,0.2626104702267579,0.2963214556853498,0.2620982908136657,0.9832461960044989,0.9131541636706866,0.7184864946644284,-0.527491673369359,-1.0624026250640077,-0.8753771333429277,0.8210302167257735
177,2028,SVK,85.0,-0.02982881465479718,0.15649502791796824,0.6539645743873788,4.396562542534202,5.698590093851421,4.113417194810229,-4.971225501371351,-6.551448540074913,-5.76981730983057,0.7806307876505498
145,2028,PAR,86.0,0.20219228454896448,0.28788841621033845,0.25248897031926165,1.8681189161760123,2.2455471299866,1.8201197817385393,-1.0357209964032998,-1.551736812509963,-1.243498938651707,0.7425696710785645
143,2028,PAK,87.0,0.36896661580715123,0.18944535907886662,0.18144225372124462,1.3019929600342468,1.2516380064504893,0.9957353746088148,-0.8042571780410103,-1.5026563310394028,-1.2264075627063136,0.7398542286072625
136,2028,NEP,88.0,0.22666127453091747,0.2672511022871358,0.20197495341515503,0.8118479685190626,0.7495870155018781,0.6279111539600064,-0.391955150257012,-0.8245983357819519,-0.64212916553912,0.6958873302332083
77,2028,GUI,89.0,0.2020855264659282,0.282490733545879,0.20540520231112647,1.4503143759866879,1.7362045595733633,1.4561828934223155,-0.7464169371632976,-1.1364099069708544,-0.8614197903481966,0.6899814623229337
74,2028,GRE,90.0,-0.6190509871110487,0.43441144508679663,0.8391533748085953,10.206830982490306,14.607509274050575,11.418424784877491,-11.014784728925546,-13.143504211818097,-10.970873911920293,0.6545138327843433
82,2028,HON,91.0,0.18914955630011288,0.2797502642409623,0.18135834245088603,1.4627309634231462,1.814746416044505,1.549741962273673,-0.7287319850075897,-1.0509787324402158,-0.7623024740501337,0.6502581629919612
146,2028,PER,92.0,-0.04607289185011618,0.16935988277137987,0.5174273987878453,3.8569912849904964,4.577680858781531,3.3742071409526084,-3.0478604288681463,-4.451633196987431,-3.9105721888095113,0.640714389709109
35,2028,CGO,93.5,0.21954519331468916,0.25552058270038924,0.16418953917680867,0.5112396459399378,0.3740910281728481,0.35411388750588774,-0.18819682857030753,-0.5405457883915428,-0.38380787868748767,0.639255315191887
202,2028,VIN,93.5,0.21954519331468916,0.25552058270038924,0.16418953917680867,0.5112396459399378,0.3740910281728481,0.35411388750588774,-0.18819682857030753,-0.5405457883915428,-0.38380787868748767,0.639255315191887
134,2028,NCA,95.0,0.19404727826209367,0.23255110003531615,0.20355135913302486,0.9801395763673003,0.9096086749082822,0.7148085935153824,-0.530276632161565,-1.0655274854176873,-0.8787156748109984,0.6301497374304347
165,2028,SLE,97.0,0.20364804900089248,0.2409212181938385,0.16589847587688483,0.6280331535971675,0.5074780108619282,0.4437767444042272,-0.27410357930037277,-0.6722252210305344,-0.5079985140333753,0.6104677430716159
118,2028,MAW,97.0,0.20364804900089248,0.2409212181938385,0.16589847587688483,0.6280331535971675,0.5074780108619282,0.4437767444042272,-0.27410357930037277,-0.6722252210305344,-0.5079985140333753,0.6104677430716159
105,2028,LAO,97.0,0.20364804900089248,0.2409212181938385,0.16589847587688483,0.6280331535971675,0.5074780108619282,0.4437767444042272,-0.27410357930037277,-0.6722252210305344,-0.5079985140333753,0.6104677430716159
122,2028,MGL,99.0,-0.1425291830833505,0.1156596962996338,0.6178352540585099,6.09068582806167,7.556072325434696,5.38036243685564,-3.6844465965555013,-5.226641084825469,-4.932629873987845,0.5909657672747932
103,2028,KSA,100.0,0.13355786029657804,0.21888206318909942,0.23206605466297728,2.2576433427525546,2.9468401003750087,2.397675116375744,-1.023864236315343,-1.3443110692179048,-1.0643917857232552,0.5845059781486547
200,2028,VEN,101.0,0.04816217151193771,0.03879465381620425,0.46395759095236383,4.305205544268487,5.613568956968707,4.071223845588089,-4.07987033282249,-5.3513998234248294,-4.775226441725038,0.5509144162805057
13,2028,AZE,102.0,-0.26935341616601116,-0.11038384236659014,0.8538189784477412,6.3720256689707195,8.335655024446746,5.792802882517688,-5.007186807145269,-6.544676576006661,-6.212531231841833,0.4740817199151399
126,2028,MLT,103.5,0.11852683328967142,0.16212332367515536,0.12377984685876096,0.8592039091938057,0.7714943738693295,0.6202418684183149,-0.44808315982110786,-0.9380145332502681,-0.7589764280892053,0.40443000382358774
79,2028,GUY,103.5,0.11852683328967142,0.16212332367515536,0.12377984685876096,0.8592039091938057,0.7714943738693295,0.6202418684183149,-0.44808315982110786,-0.9380145332502681,-0.7589764280892053,0.40443000382358774
129,2028,MOZ,105.0,0.10673014231843846,0.15152428172664706,0.1442739086657668,1.093697021902448,1.0393024401365245,0.8006403033834657,-0.6190843816335115,-1.2004619809250947,-1.0063839575194597,0.4025283327108523
